name,contry_origin,domain,price_category,founded,presence_world,presence_russia,presence_regions,description,plans,total_rented_area
Tamaris,Германия,Обувь,Средний; Выше среднего,1967.0,1995,80 и 876 франчайзинговых,Москва; Санкт-Петербург; Барнаул; Бийск; Екатеринбург; Ижевск; Иркутск; Краснодар; Нижневартовск; Нижний Тагил; Новокузнецк; Новороссийск; Новосибирск; Омск; Оренбург; Петрозаводск; Псков; Самара; Ставрополь; Тюмень; Улан-Удэ; Ульяновск; Уфа; Хабаровск; Чебоксары,"Популярный бренд женской обуви и аксессуаров Tamaris основан в 1967 г. в г. Дельтмонд в Германии. Благодаря уникальному позиционированию бренд Tamaris знают 90% женщин Германии в возрасте от 20 до 49 лет. У каждой второй немецкой женщины есть, по крайней мере, одна пара обуви этой марки. Tamaris также присутствует на рынках более чем 70 стран мира, что делает его одним из флагманов отрасли в Европе. Любительницы обуви найдут в коллекциях Tamaris широчайший ассортимент моделей, из которого можно выбрать подходящую пару для любого случая. Экстравагантные новинки прямо с модных показов, непринужденные сникеры или актуальная классика — европейский бренд номер 1 остается бессменным фаворитом на подиуме городских улиц. В одноименной коллекции Tamaris и ее трех линейках, Tamaris Fashletics, Tamaris Heart & Sole и Tamaris PureRelax, современные и стильные женщины найдут оптимальное сочетание качества, дизайна и актуальных тенденций, что подарит им много приятных эмоций. Tamaris всегда находится на шаг впереди в процессе оптимизации и внедрения инноваций, что позволяет полностью удовлетворить потребности клиентов. Безупречная посадка, идеальное удобство при ношении и надежное качество — вот ключевые приоритеты Tamaris.",,
100 Столов,Россия,Мебель,Средний,2008.0,4,4,Брянск,"На протяжении 8 лет компания ""100 Столов"" занимаемся продажами на рынке мебели бытового и офисного назначения.  Компания ""100 Столов"" готова предложить вам любую мебель: кухонные гарнитуры и комплекты, мебель для гостиной, спальни, детской, прихожей, мебель для кафе и ресторанов, садовая и плетеная мебель, кресла-качалки, офисная мебель (кабинеты и кресла) и многое другое для создания уюта в вашем доме. Также в магазинах ""100 Столов"" можно приобрести кухонные мойки известных брендов.  Отдельная специализация бизнеса компании — продажа столов и стульев. Современные и классические, из массива натуральных пород дерева, стекла, камня, влагостойкого лака — такое разнообразие стилей и материалов не оставит равнодушным самого искушённого клиента. А какой стол без стульев? Более 200 моделей стульев, кресел, помогут создать вам идеальное сочетание обеденной группы. Купить только стол, обеденную группу или стулья — это выбор клиента.",,
1000 и одна сумка,Россия,Аксессуары,Ниже среднего; Средний,2003.0,,69 и 45 франчайзинговых,Москва; Санкт-Петербург; Анапа; Армавир; Астрахань; Балаково; Белгород; Брянск; Великие Луки; Великий Новгород; Владимир; Волгоград; Вологда; Волхов; Воронеж; Гатчина; Екатеринбург; Иваново; Казань; Калининград; Калуга; Кемерово; Кингисепп; Ковров; Колпино; Кострома; Краснодар; Красноярск; Липецк; Мончегорск; Мурманск; Нижнекамск; Новороссийск; Оренбург; Орск; Псков; Ростов-на-Дону; Рыбинск; Рязань; Самара; Саратов; Севастополь; Северодвинск; Симферополь ; Смоленск; Сочи; Ставрополь; Старый Оскол; Таганрог; Тамбов; Тверь; Тобольск; Тюмень; Ульяновск; Уфа; Челябинск; Череповец; Шахты; Энгельс; Ялта; Ярославль,"«1000 и одна сумка» - динамично развивающаяся сеть магазинов розничной торговли, специализирующаяся на продаже кожгалантереи. Развитие сети магазинов «1000 и одна сумка» начиналось в Санкт-Петербурге. В 2003 году был открыт первый в России большеформатный магазин кожгалантереи с торговой площадью 400 кв.метров. Сегодня сеть насчитывает более 110 успешно работающих магазинов по всей стране, основным направлением деятельности которых является реализация товаров из кожгалантереи. Ассортимент магазинов «1000 и одна сумка» насчитывает около 10 000 наименований продукции на любой, даже самый взыскательный вкус. Представленные в нашей сети товары, подобраны с учетом, как возрастных групп, так и различных уровней доходов. Здесь Вы найдете: женские сумки, деловые портфели и папки, молодежные, дорожные, спортивные сумки, перчатки, зонты, ремни, брелоки и многое другое. Главное, что объединяет наши товары – это неизменное качество, которое соответствует всем мировым требованиям и стандартам, за соблюдением которых следят наши лучшие специалисты. Мы предлагаем выбор, а не иллюзию выбора, т.к. у нас действительно много различных моделей сумок и аксессуаров. Мы работаем для того, чтобы Вам было комфортно и приятно делать у нас покупки. Стараемся создать такие условия, чтобы быть полезными каждому клиенту. Основные принципы успешной работы сети «1000 и одна сумка»: - постоянно обновляемый ассортимент - контроль качества продукции - профессиональное обслуживание - доступная ценовая политика - рекламные акции (скидки, распродажи) - накопительная система скидок - возможность индивидуального заказа товара в определенный магазин Мы не останавливаемся на уже достигнутом уровне, активно развиваемся, стараемся быть ближе к клиенту, внимательно рассматриваем Ваши отзывы, для улучшения качества нашего сервиса и обслуживания. Вы можете быть уверены, что ни один отзыв не останется без ответа! «1000 и одна сумка» - мы ценим Ваше доверие!",40.0,
1000 и одна туфелька,Россия,Товары и услуги для детей,Средний,,,22,Санкт-Петербург,«1000 и одна туфелька» - сеть специализированных магазинов обуви для детей и подростков.,,
1001 Платье,Россия,Одежда,Средний,2008.0,14,14,Москва; Санкт-Петербург,"«1001 Платье» — российский производитель женских и детских платьев. История бренда началась в 2008 году. За восемь лет компания запустила собственное производство в Санкт-Петербурге, организовала конструкторское бюро, наладила связи с лучшими поставщиками тканей и фурнитуры за рубежом, а также развила крупную партнёрскую сеть в России и странах СНГ. Всё это позволило создать уникальную коллекцию платьев, насчитывающую более двух тысяч моделей, многие из которых стали безусловными хитами и лидерами продаж. Компания не только выпускает платья под собственным брендом D&M, но и сотрудничает с известными молодыми дизайнерами. Наша творческая мастерская отслеживает популярные тренды, поэтому в каждой коллекции можно найти как классические, так и ультрамодные модели вечерних и деловых нарядов, повседневных платьев и платьев в стиле ретро. Огромное разнообразие расцветок, принтов, фасонов и фактур позволяет подобрать платье на любой случай, что особенно ценится нашими клиентами и заставляет их возвращаться к нам снова и снова. Кроме того, мы запустили собственную линию бижутерии и аксессуаров, благодаря которым можно создать полноценный образ.",2.0,
1001 тур,Россия,"Туризм, путешествия",Средний,2002.0,,157 и 170 франчайзинговых,Москва; Санкт-Петербург; Архангельск; Балашиха; Белгород; Великий Новгород; Владивосток; Волгоград; Воронеж; Екатеринбург; Железногорск; Железнодорожный; Зеленоград; Иваново; Ижевск; Иркутск; Йошкар-Ола; Казань; Калининград; Киров; Королев; Краснодар; Курск; Липецк; Муром; Мытищи; Нижний Новгород; Новокузнецк; Саратов; Серпухов; Таганрог; Тамбов; Тверь; Тула; Уфа; Хабаровск; Челябинск; Ярославль,"Компания «1001 Тур» работает с 2002 года. Сейчас это крупная сеть туристических агентств в Москве, Санкт-Петербурге и крупных городах России. Все офисы «1001 Тур» работают по единому стандарту качества, с единой on-line базой туров. 1001 Тур - это: Более 100 миллионов туров от туроператоров. Постоянно обновляемая база лучших предложений; Более 30 тысяч отелей на любой вкус и кошелек; 157 офисов в Москве, Санкт-Петербурге и в других городах России – и эта цифра постоянно растет; а также Более 10 тысяч туристов ежегодно доверяют нам свой отдых; Более 6 тысяч друзей – туристов, однажды обратившихся к нам и ставшими нашими постоянными клиентами. Присоединяйтесь! Почему с нами удобно и выгодно: Ежедневно обновляемая база лучших туров ведущих туроператоров позволяет удовлетворить самого взыскательного туриста; У нас выгодные цены по всем турам, включая спецпредложения и горящие туры, потому что агентское вознаграждение нам платит оператор, а не клиент; У нас можно заказать авиа и ж/д билеты по всем направлениям России и зарубежья; Мы бронируем для Вас гостиницы и отели по всему миру; Профессиональные оn-line консультации менеджеров по телефону или ICQ; Дисконтная накопительная программа с постоянно увеличивающимся размером скидки; Уникальная система – подарочный сертификат на путешествие – самый незабываемый подарок! Мы продаем туры в кредит на привлекательных и доступных условиях; Мы экономим Ваше время. Мы сами привезем заказанные Вами туры, авиа- и ж/д билеты на дом или в офис. Мы постоянно расширяем спектр наших предложений: пляжные, экскурсионные и комбинированные туры, круизы, специализированные туры (горнолыжные и т.п.), VIP-туры, отдых с детьми – и мы уверены, что в этом многообразии туров обязательно найдется именно то предложение, которое Вы ищите! Многолетняя история компании «1001 Тур» и профессионализм сотрудников – залог Вашего удачного отдыха!",,
12 Талеров,Россия,Хобби и увлечения,Средний; Выше среднего,2008.0,2,2,Москва,"""12 Талеров"" - сеть магазинов для кладоискателей и нумизматов. Компания основана в 2008 году. В настоящее время, помимо металлоискателей ведущих мировых производителей и аксессуаров для копателей, мы предлагаем нашим клиентам товары для коллекционеров, а также монеты и боны.",,
12Storeez,Россия,Одежда,Средний,2014.0,,19,Москва; Санкт-Петербург; Владивосток; Екатеринбург; Казань; Краснодар; Новосибирск; Ростов-на-Дону; Сочи,"12Storeez — это российская марка женской одежды, созданная сестрами-близнецами Ириной и Мариной Голомаздиными. Мы — узнаваемая марка: более 542 тысяч подписчиков в инстаграм каждый день ставят нам около 5000 лайков и оставляют не меньше 50 комментариев. Мы гордимся своей дружбой с клиентами и большим количеством постоянных покупателей. Мы — одна из самых быстро растущих марок женской одежды по мнению журнала РБК: каждый год мы в 2-3 раза увеличиваем производство и продажи. В 2014 году с командой из 3 человек мы открывали первый офлайн-магазин в Екатеринбурге. Сегодня в команде работают не менее 300 профессионалов в 16 магазинах в 5 городах и на онлайн-площадке 12Storeez.com. Наша идея — помочь девушкам создать практичный и продуманный базовый гардероб, который можно быстро обновить 1-2 свежими вещами. Поэтому мы выпускаем новые коллекции каждый месяц, а не пару раз в год, и тщательно следим за качеством и ценами. Мы хотим, чтобы красивые вещи были доступны каждой девушке, независимо от возраста, внешности и дохода. 12Storeez в 2014 году: 3 человека в команде; 1 шоурум в Екатеринбурге; 10 моделей в месяц, заказы через Whatsapp. 12Storeez сейчас: 311 человек в команде; 634 000 подписчиков; 2 офиса в Москве и Екатеринбурге; 19 магазинов по России; 31 год средний возраст сотрудников; растем в два раза каждый год. Миссия. Мы создаем настроение и вдохновляем развивать внешнюю и внутреннюю красоту. Команда. Мы ценим: активную жизненную позицию, страсть, доверие, единство, ответственность, инициативность, доброту, честность. Предвосхищение. Мы стремимся предвосхищать ожидания наших клиентов и коллег. Мы даем больше, чем от нас ждут. Внимание к деталям. Мелочей не существует, важно все. Мы ценим простоту и внимание к деталям, ищем новые эффективные подходы к делу. Открытость. Мы открыты миру, стремимся быть честными и не боимся ошибиться. Мы слушаем и слышим.",15.0,
13 by Timati,,Красота,Средний; Выше среднего,,3,3,Москва,"13 by Timati— флагман барберинга и тату в Москве. Расположенный в самом центре столицы салон за год обслужил почти 30 000 клиентов, из которых 5 000 стали постоянными. Команда мастеров это дримтим лучших, где каждый топ-профессионал, готовый выдать свою лучшую работу для каждого клиента.",,
13 Rules,Россия,"Кафе, ресторан",Средний,2012.0,3,3 и 30 франчайзинговых,Москва; Санкт-Петербург; Воронеж; Киров; Краснодар; Новосибирск; Уфа,"Компания 13 Rules основана в 2012 году Алексеем Омельченко. 13 RULES – зарегистрированный товарный знак сети № 1 крафтовых баров в России. 13 Rules начинала путь с классических магазинов-островков в торговых центрах, площадью в 6 м и полноценных отделов площадью в 20 м с классическим ассортиментом пива и закусок. За 3 года открылось 7 заведений.В 2016 году компания ушла в формат магазинов-баров крафтового пива. Через год, в 2017 году компания запустили первую франчайзинговую точку, ещё через год – стали сетью №1 по количеству баров. А через полгода после запуска компания уже была федеральной сетью с барами в Краснодаре и Кирове. 33 бара в 2019 городах России уже открыты и радуют посетителей. В планах компании за 5 лет открыть 300 баров и стать национальной сетью, с представительством в Казахстане, Белоруссии и других странах.",,
16DEN,Россия,Одежда,Средний,2008.0,,10,Оренбург,"16DEN – сеть мультибрендовых магазинов нижнего белья и колготок в Оренбурге. 10 розничных магазинов, расположенных в разных частях города для удобства покупателей. 16DEN более 10 лет на рынке. За это время мы изучили предпочтения наших покупателей и формируем  ассортимент, стараясь соответствовать потребностям. Мы работаем с ведущими и проверенными марками нижнего белья, колготок, домашнего и верхнего трикотажа. В 16DEN представлен женский, мужской и детский ассортимент. Магазины поддерживают широкий размерный ряд, учитывая особенности фигуры женщин. Представлены полнотные размеры бюстгалтеров. Основные направления: - женское, мужское и подростковое нижнее белье - колготки, чулки, носки - белье для будущих и кормящих мам - купальники и одежда для пляжа - домашний трикотаж (сорочки, пижамы, домашняя одежда) - шелковое белье (сорочки, пеньюары, халаты, пижамы) - корректирующее белье -термобелье -спортивное белье - эротическое белье - верхний трикотаж (блузы, футболки, джемпера, жакеты, брюки, платья, кардиганы и т.д.) - детский трикотаж (0-10 лет) - полотенца",3.0,
1811 Eighteen One One,Россия,Одежда,Средний; Выше среднего,2017.0,,5,Москва; Одинцово,"Марка 1811 Eighteen One One представляет собой микс современной классики и комфортного функционализма на каждый день для девушек и женщин большого города. Это качественная одежда в сегменте middle & up. Девушка 1811 Eighteen One One — это женственная муза вне возраста и времени. Красивая и утонченная она несет благородство и стиль в своем образе. Ее легко можно было бы представить в роли жены президента, а также творческой дивой, выходящей на красную ковровую дорожку или в кабриолете на набережной Монако, где еще недавно проезжала Грейс Келли. Когда мы говорим об образе девушки в стиле 1811 Eghteen One One, мы представляем ее себе именно так. Своим стилем марка пропагандирует женственность во всех ее проявлениях. Бренд осуждает массовые, культурные и возрастные предрассудки и не поддерживает тенденции, которые со стечением времени не переходят в ценности. 1811 Eighteen One One, сегодня — это не только одежда, но и философия жизненного стиля, несущего в себе красоту и благородство, начинающиеся с внешнего облика нашей героини и заканчивая ее мышлением. Для своих новых линий бренд планирует продолжать работать со стилем современной классики, создавая новые модели, которые будут по вкусу многомиллионной российской аудитории. Сегодня для 1811 Eighteen One One важно то, как вы будете выглядеть завтра, потому что замечательные мысли, развитие культуры и проявление человеческих добродетелей в современном мире очень зависит от внешнего облика людей, которые несут эти ценности.",,
1b.ru,Россия,Парфюмерия и Косметика,Ниже среднего,,4,4,Балаково; Саратов; Энгельс,"1b.ru – новый формат и новое поколение магазинов красоты и здоровья.  Большой выбор элитной парфюмерии и косметики, все для красоты и ухода за собой, для уюта в доме, а также лекарства и медицинские товары для всей семьи – в максимально комфортном и удобном сочетании.  Уникальная атмосфера магазинов 1b.ru, неизменный принцип выгодных цен на все товары, новинки и лучшие предложения для тех, кто уделяет внимание красоте и уходу за собой.",,
